Date,Temp_Max,Chuva_mm
2025-10-25,38.5,0.0
2025-10-26,37.6,4.8
2025-10-27,31.6,0.2
2025-10-28,32.3,0.0
2025-10-29,26.6,3.2
2025-10-30,26.9,0.2
2025-10-31,33.2,0.0
2025-11-01,37.3,0.0
2025-11-02,37.2,1.3
2025-11-03,35.5,1.0
2025-11-04,34.7,0.0
2025-11-05,36.3,2.7
2025-11-06,36.3,0.2
2025-11-07,34.2,0.8
2025-11-08,36.0,21.1
2025-11-09,31.2,0.0
2025-11-10,35.1,0.0
2025-11-11,31.7,15.0
2025-11-12,34.7,0.4
2025-11-13,34.6,1.6
2025-11-14,31.4,15.2
2025-11-15,35.8,13.0
2025-11-16,33.8,0.7
2025-11-17,34.7,3.9
2025-11-18,27.6,0.6
2025-11-19,32.8,0.0
2025-11-20,34.7,0.0
2025-11-21,35.7,3.1
2025-11-22,32.2,4.5
2025-11-23,33.2,0.3
2025-11-24,35.6,0.0
2025-11-25,36.8,0.0
2025-11-26,35.8,1.7
2025-11-27,35.0,0.3
2025-11-28,37.0,3.5
2025-11-29,35.3,0.4
2025-11-30,35.8,0.1
2025-12-01,33.4,0.0
2025-12-02,35.2,15.4
2025-12-03,31.9,7.1
2025-12-04,31.0,6.0
2025-12-05,30.0,19.2
2025-12-06,28.4,13.9
2025-12-07,30.0,17.3
2025-12-08,28.8,10.1
2025-12-09,28.4,16.2
2025-12-10,31.0,0.2
2025-12-11,31.9,0.1
2025-12-12,32.8,1.4
2025-12-13,31.0,1.6
2025-12-14,32.5,0.0
2025-12-15,33.2,0.5
2025-12-16,31.2,34.3
2025-12-17,29.4,6.3
2025-12-18,31.1,2.5
2025-12-19,30.4,28.5
2025-12-20,30.4,8.3
2025-12-21,29.0,12.7
2025-12-22,28.5,7.6
2025-12-23,29.4,4.7
2025-12-24,32.0,1.3
2025-12-25,32.1,0.7
2025-12-26,31.9,1.4
2025-12-27,32.2,1.1
2025-12-28,32.7,0.1
2025-12-29,33.8,0.0
2025-12-30,32.2,0.0
2025-12-31,34.0,0.2
2026-01-01,35.7,0.3
2026-01-02,32.8,1.9
2026-01-03,33.3,1.4
2026-01-04,31.2,3.3
2026-01-05,32.9,1.7
2026-01-06,32.2,3.8
2026-01-07,32.0,6.9
2026-01-08,32.8,0.4
2026-01-09,34.3,0.4
2026-01-10,36.5,0.0
2026-01-11,37.2,24.4
2026-01-12,31.1,4.9
2026-01-13,31.1,3.6
2026-01-14,31.1,0.9
2026-01-15,34.0,0.4
2026-01-16,34.3,0.2
2026-01-17,34.6,0.3
2026-01-18,35.5,1.0
2026-01-19,35.2,11.1
2026-01-20,32.2,9.0
2026-01-21,30.3,18.9
2026-01-22,31.9,0.2
2026-01-23,33.5,0.0
